Date,Open,Adj Close
2020-05-08,11.92,12.27
2020-05-07,12.04,11.71
2020-05-06,11.76,11.78
2020-05-05,12.02,11.69
2020-05-04,11.84,11.87
2020-05-01,12.23,11.98
2020-04-30,12.86,12.6
2020-04-29,12.41,13.05
2020-04-28,11.91,11.95
2020-04-27,11.54,11.62
2020-04-24,11.55,11.36
2020-04-23,11.71,11.44
2020-04-22,11.73,11.57
2020-04-21,11.6,11.46
2020-04-20,11.95,12.12
2020-04-17,12.11,12.37
2020-04-16,11.8,11.56
2020-04-15,12.03,11.84
2020-04-14,12.83,12.59
2020-04-13,12.8,12.7
2020-04-09,12.46,12.8
2020-04-08,12.05,12.23
2020-04-07,12.24,11.94
2020-04-06,11.9,11.71
2020-04-03,11.52,11.34
2020-04-02,11.79,11.57
2020-04-01,11.86,11.83
2020-03-31,11.86,12.54
2020-03-30,11.13,12.0
2020-03-27,11.63,11.27
2020-03-26,11.85,12.08
2020-03-25,11.29,11.75
2020-03-24,9.7,10.74
2020-03-23,9.36,8.9
2020-03-20,10.24,9.39
2020-03-19,9.21,9.93
2020-03-18,9.48,9.26
2020-03-17,10.7,10.08
2020-03-16,11.5,10.48
2020-03-13,12.46,12.96
2020-03-12,12.94,11.62
2020-03-11,14.5,14.07
2020-03-10,14.75,14.92
2020-03-09,15.03,14.23
2020-03-06,16.13,16.06
2020-03-05,16.5,16.65
2020-03-04,17.0,16.9
2020-03-03,17.21,16.7
2020-03-02,16.9,17.2
2020-02-28,16.37,16.84
2020-02-27,17.17,16.86
2020-02-26,17.75,17.55
2020-02-25,18.07,17.64
2020-02-24,18.64,17.98
2020-02-21,19.95,19.23
2020-02-20,19.87,19.74
2020-02-19,19.72,19.61
2020-02-18,19.58,19.3
2020-02-14,19.78,19.43
2020-02-13,19.94,19.44
2020-02-12,20.34,19.82
2020-02-11,20.05,19.92
2020-02-10,19.83,19.62
2020-02-07,19.96,19.66
2020-02-06,20.09,19.87
2020-02-05,19.91,19.71
2020-02-04,19.63,19.36
2020-02-03,19.54,19.13
2020-01-31,19.91,19.19
2020-01-30,19.82,19.75
2020-01-29,20.32,19.79
2020-01-28,20.15,19.98
2020-01-27,20.12,19.74
2020-01-24,20.82,20.35
2020-01-23,20.62,20.5
2020-01-22,20.75,20.46
2020-01-21,21.06,20.32
2020-01-17,20.92,20.83
2020-01-16,20.91,20.58
2020-01-15,20.93,20.46
2020-01-14,21.03,20.74
2020-01-13,21.21,20.78
2020-01-10,21.05,20.84
2020-01-09,20.89,20.72
2020-01-08,20.64,20.55
2020-01-07,20.43,20.34
2020-01-06,20.26,20.2
2020-01-03,20.34,20.09
2020-01-02,20.31,20.26
2019-12-31,20.16,20.0
2019-12-30,20.15,19.89
2019-12-27,20.2,19.84
2019-12-26,20.02,19.84
2019-12-24,20.04,19.72
2019-12-23,20.04,19.73
2019-12-20,19.75,19.79
2019-12-19,19.97,19.54
2019-12-18,19.8,19.65
2019-12-17,19.57,19.44
